	Belgium	Georgia	Massachusetts	Morocco	Ohio	Russia	Senegal	Spain	Switzerland	Tunisia	California	United_Kingdom
Belgium	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653	-0.04283653
Georgia	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933	0.16918933
Massachusetts	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439	0.09158439
Morocco	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372	-0.92086372
Ohio	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038	0.21102038
Russia	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409	0.89917409
Senegal	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537	-2.00915537
Spain	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161	0.59004161
Switzerland	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453	0.26000453
Tunisia	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266	-1.68481266
California	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821	1.23293821
United_Kingdom	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573	1.20371573
